nuevas,dosis_total_diff,primera_dosis_diff,segunda_dosis_diff,refuerzo_diff,(MSP) UCI Porcentaje Ocupadas,(RPIS) UCI Porcentaje Ocupadas,(RPC) UCI Porcentaje Ocupadas
2518,29643.0,14029.0,15614.0,0.0,,,
609,38788.0,26764.0,12024.0,0.0,,,
741,35729.0,24455.0,11274.0,0.0,,,
596,22946.0,261.0,22685.0,0.0,,,
1441,43671.0,21957.0,21714.0,0.0,,,
2348,100735.0,73995.0,26740.0,0.0,,,
1366,0.0,0.0,0.0,0.0,,,
1219,165248.0,104696.0,60552.0,0.0,,,
1011,53293.0,44361.0,8932.0,0.0,,,
347,0.0,0.0,0.0,0.0,,,
969,78810.0,61008.0,17802.0,0.0,,,
1064,0.0,0.0,0.0,0.0,,,
1098,85168.0,17100.0,68068.0,0.0,,,
836,62332.0,11283.0,51049.0,0.0,,,
1576,32827.0,14302.0,18525.0,0.0,,,
1100,19522.0,10490.0,9032.0,0.0,,,
196,0.0,0.0,0.0,0.0,,,
1653,162693.0,59587.0,103106.0,0.0,,,
1175,60191.0,34472.0,25719.0,0.0,,,
952,81329.0,45095.0,36234.0,0.0,,,
922,68618.0,42701.0,25917.0,0.0,,,
690,48147.0,29200.0,18947.0,0.0,,,
924,19823.0,17607.0,2216.0,0.0,,,
386,51266.0,33464.0,17802.0,0.0,,,
246,71173.0,52452.0,18721.0,0.0,,,
885,0.0,0.0,0.0,0.0,,,
2153,0.0,0.0,0.0,0.0,,,
1098,0.0,0.0,0.0,0.0,,,
987,0.0,0.0,0.0,0.0,,,
826,292927.0,165611.0,127316.0,0.0,,,
205,0.0,0.0,0.0,0.0,,,
235,52215.0,36730.0,15485.0,0.0,,,
1806,0.0,0.0,0.0,0.0,,,
1161,0.0,0.0,0.0,0.0,,,
2054,0.0,0.0,0.0,0.0,,,
1191,424867.0,271949.0,152918.0,0.0,,,
855,22413.0,17133.0,5280.0,0.0,,,
192,77559.0,57479.0,20080.0,0.0,,,
543,67159.0,53564.0,13595.0,0.0,,,
1931,72278.0,57288.0,14990.0,0.0,,,
376,81910.0,54998.0,26912.0,0.0,,,
2751,64683.0,51027.0,13656.0,0.0,,,
1128,47379.0,36745.0,10634.0,0.0,,,
974,32372.0,21212.0,11160.0,0.0,,,
1407,67019.0,46610.0,20409.0,0.0,,,
1746,61531.0,45438.0,16093.0,0.0,,,
1015,70031.0,47477.0,22554.0,0.0,,,
1034,79378.0,44241.0,35137.0,0.0,0.0,0.0,0.0
1619,44004.0,0.0,44004.0,0.0,0.0,0.0,0.0
985,105820.0,83629.0,22191.0,0.0,0.0,0.0,0.0
0,65789.0,43880.0,21909.0,0.0,0.0,0.0,0.0
507,129679.0,99222.0,30457.0,0.0,0.0,0.0,0.0
1302,147594.0,113621.0,33973.0,0.0,0.0,0.0,0.0
1078,163540.0,134874.0,28666.0,0.0,0.0,0.0,0.0
849,184606.0,151298.0,33308.0,0.0,0.0,0.0,0.0
1195,215690.0,202959.0,12731.0,0.0,0.0,0.0,0.0
903,260427.0,218498.0,41929.0,0.0,0.0,0.0,0.0
370,167032.0,155392.0,11640.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2468,597715.0,541406.0,56309.0,0.0,0.0,0.0,0.0
875,507014.0,449778.0,57236.0,0.0,0.0,0.0,0.0
965,390825.0,368249.0,22576.0,0.0,0.0,0.0,0.0
