provincia,total,acumuladas,lat,lng,mes
Santa Elena,91,493,-2.2267,-80.8583,5
Sto. Domingo Tsáchilas,157,803,-0.254167,-79.171944,5
Sucumbíos,42,233,0.084722,-76.882778,5
Tungurahua,232,1149,-1.241667,-78.619722,5
Zamora Chinchipe,10,76,-4.12,-78.8,5
Azuay,281,1847,-2.897414,-79.004481,6
Bolívar,55,393,-1.605556,-79.003056,6
Carchi,42,316,0.81218,-77.71633,6
Cañar,78,496,-2.733333,-78.833333,6
Chimborazo,183,1107,-1.674347,-78.64829399999999,6
Cotopaxi,134,836,-0.933333,-78.616667,6
El Oro,222,1345,-3.266667,-79.966667,6
Esmeraldas,91,725,1.05,-79.2,6
Galápagos,3,20,-0.799999999999999,-89.4,6
Guayas,1624,10308,-2.183333,-79.883333,6
Imbabura,154,926,0.362678,-78.130667,6
Loja,177,1107,-3.983333,-79.2,6
Los Ríos,272,1707,-1.8,-79.533333,6
Manabí,460,3546,-1.056181,-80.455217,6
Morona Santiago,28,221,-2.3,-78.116667,6
Napo,29,167,-0.989,-77.8159,6
Orellana,22,182,-0.466667,-76.966667,6
Otro,1,2,0.0,0.0,6
Pastaza,18,146,-1.066667,-78.001111,6
Pichincha,1014,6026,-0.218611,-78.509722,6
Santa Elena,96,589,-2.2267,-80.8583,6
Sto. Domingo Tsáchilas,170,973,-0.254167,-79.171944,6
Sucumbíos,53,286,0.084722,-76.882778,6
Tungurahua,203,1352,-1.241667,-78.619722,6
Zamora Chinchipe,21,97,-4.12,-78.8,6
Azuay,318,2165,-2.897414,-79.004481,7
Bolívar,57,450,-1.605556,-79.003056,7
Carchi,63,379,0.81218,-77.71633,7
Cañar,105,601,-2.733333,-78.833333,7
Chimborazo,196,1303,-1.674347,-78.64829399999999,7
Cotopaxi,156,992,-0.933333,-78.616667,7
El Oro,222,1567,-3.266667,-79.966667,7
Esmeraldas,117,842,1.05,-79.2,7
Galápagos,6,26,-0.799999999999999,-89.4,7
Guayas,1502,11810,-2.183333,-79.883333,7
Imbabura,146,1072,0.362678,-78.130667,7
Loja,188,1295,-3.983333,-79.2,7
Los Ríos,269,1976,-1.8,-79.533333,7
Manabí,503,4049,-1.056181,-80.455217,7
Morona Santiago,37,258,-2.3,-78.116667,7
Napo,16,183,-0.989,-77.8159,7
Orellana,22,204,-0.466667,-76.966667,7
Otro,1,3,0.0,0.0,7
Pastaza,21,167,-1.066667,-78.001111,7
Pichincha,965,6991,-0.218611,-78.509722,7
Santa Elena,101,690,-2.2267,-80.8583,7
Sto. Domingo Tsáchilas,147,1120,-0.254167,-79.171944,7
Sucumbíos,47,333,0.084722,-76.882778,7
Tungurahua,246,1598,-1.241667,-78.619722,7
Zamora Chinchipe,13,110,-4.12,-78.8,7
Azuay,314,2479,-2.897414,-79.004481,8
Bolívar,61,511,-1.605556,-79.003056,8
Carchi,50,429,0.81218,-77.71633,8
Cañar,96,697,-2.733333,-78.833333,8
Chimborazo,195,1498,-1.674347,-78.64829399999999,8
Cotopaxi,135,1127,-0.933333,-78.616667,8
El Oro,211,1778,-3.266667,-79.966667,8
Esmeraldas,128,970,1.05,-79.2,8
Galápagos,6,32,-0.799999999999999,-89.4,8
Guayas,1534,13344,-2.183333,-79.883333,8
Imbabura,167,1239,0.362678,-78.130667,8
Loja,180,1475,-3.983333,-79.2,8
Los Ríos,305,2281,-1.8,-79.533333,8
Manabí,509,4558,-1.056181,-80.455217,8
Morona Santiago,34,292,-2.3,-78.116667,8
Napo,29,212,-0.989,-77.8159,8
Orellana,30,234,-0.466667,-76.966667,8
Otro,0,3,0.0,0.0,8
Pastaza,29,196,-1.066667,-78.001111,8
Pichincha,960,7951,-0.218611,-78.509722,8
Santa Elena,104,794,-2.2267,-80.8583,8
Sto. Domingo Tsáchilas,142,1262,-0.254167,-79.171944,8
Sucumbíos,39,372,0.084722,-76.882778,8
Tungurahua,270,1868,-1.241667,-78.619722,8
Zamora Chinchipe,22,132,-4.12,-78.8,8
Azuay,315,2794,-2.897414,-79.004481,9
Bolívar,68,579,-1.605556,-79.003056,9
Carchi,54,483,0.81218,-77.71633,9
Cañar,87,784,-2.733333,-78.833333,9
Chimborazo,186,1684,-1.674347,-78.64829399999999,9
Cotopaxi,142,1269,-0.933333,-78.616667,9
El Oro,215,1993,-3.266667,-79.966667,9
Esmeraldas,111,1081,1.05,-79.2,9
Galápagos,6,38,-0.799999999999999,-89.4,9
Guayas,1577,14921,-2.183333,-79.883333,9
Imbabura,129,1368,0.362678,-78.130667,9
Loja,188,1663,-3.983333,-79.2,9
Los Ríos,241,2522,-1.8,-79.533333,9
Manabí,488,5046,-1.056181,-80.455217,9
Morona Santiago,29,321,-2.3,-78.116667,9
Napo,16,228,-0.989,-77.8159,9
Orellana,29,263,-0.466667,-76.966667,9
Otro,0,3,0.0,0.0,9
Pastaza,27,223,-1.066667,-78.001111,9
Pichincha,922,8873,-0.218611,-78.509722,9
Santa Elena,113,907,-2.2267,-80.8583,9
Sto. Domingo Tsáchilas,160,1422,-0.254167,-79.171944,9
Sucumbíos,33,405,0.084722,-76.882778,9
Tungurahua,207,2075,-1.241667,-78.619722,9
Zamora Chinchipe,17,149,-4.12,-78.8,9
Azuay,324,3118,-2.897414,-79.004481,10
Bolívar,74,653,-1.605556,-79.003056,10
Carchi,57,540,0.81218,-77.71633,10
Cañar,96,880,-2.733333,-78.833333,10
Chimborazo,186,1870,-1.674347,-78.64829399999999,10
Cotopaxi,141,1410,-0.933333,-78.616667,10
El Oro,218,2211,-3.266667,-79.966667,10
Esmeraldas,111,1192,1.05,-79.2,10
Galápagos,8,46,-0.799999999999999,-89.4,10
Guayas,1638,16559,-2.183333,-79.883333,10
Imbabura,135,1503,0.362678,-78.130667,10
Loja,191,1854,-3.983333,-79.2,10
Los Ríos,295,2817,-1.8,-79.533333,10
Manabí,536,5582,-1.056181,-80.455217,10
Morona Santiago,46,367,-2.3,-78.116667,10
Napo,26,254,-0.989,-77.8159,10
Orellana,19,282,-0.466667,-76.966667,10
Otro,0,3,0.0,0.0,10
Pastaza,27,250,-1.066667,-78.001111,10
Pichincha,988,9861,-0.218611,-78.509722,10
Santa Elena,86,993,-2.2267,-80.8583,10
Sto. Domingo Tsáchilas,154,1576,-0.254167,-79.171944,10
Sucumbíos,36,441,0.084722,-76.882778,10
Tungurahua,213,2288,-1.241667,-78.619722,10
Zamora Chinchipe,21,170,-4.12,-78.8,10
Azuay,305,3423,-2.897414,-79.004481,11
Bolívar,66,719,-1.605556,-79.003056,11
Carchi,47,587,0.81218,-77.71633,11
Cañar,70,950,-2.733333,-78.833333,11
Chimborazo,193,2063,-1.674347,-78.64829399999999,11
Cotopaxi,132,1542,-0.933333,-78.616667,11
El Oro,206,2417,-3.266667,-79.966667,11
Esmeraldas,122,1314,1.05,-79.2,11
Galápagos,3,49,-0.799999999999999,-89.4,11
Guayas,1618,18177,-2.183333,-79.883333,11
Imbabura,150,1653,0.362678,-78.130667,11
Loja,158,2012,-3.983333,-79.2,11
Los Ríos,278,3095,-1.8,-79.533333,11
Manabí,491,6073,-1.056181,-80.455217,11
Morona Santiago,43,410,-2.3,-78.116667,11
Napo,28,282,-0.989,-77.8159,11
Orellana,23,305,-0.466667,-76.966667,11
Otro,0,3,0.0,0.0,11
Pastaza,22,272,-1.066667,-78.001111,11
Pichincha,952,10813,-0.218611,-78.509722,11
Santa Elena,103,1096,-2.2267,-80.8583,11
Sto. Domingo Tsáchilas,156,1732,-0.254167,-79.171944,11
Sucumbíos,46,487,0.084722,-76.882778,11
Tungurahua,213,2501,-1.241667,-78.619722,11
Zamora Chinchipe,16,186,-4.12,-78.8,11
Azuay,271,3694,-2.897414,-79.004481,12
Bolívar,64,783,-1.605556,-79.003056,12
Carchi,52,639,0.81218,-77.71633,12
Cañar,60,1010,-2.733333,-78.833333,12
Chimborazo,164,2227,-1.674347,-78.64829399999999,12
Cotopaxi,135,1677,-0.933333,-78.616667,12
El Oro,219,2636,-3.266667,-79.966667,12
Esmeraldas,86,1400,1.05,-79.2,12
Galápagos,2,51,-0.799999999999999,-89.4,12
Guayas,1699,19876,-2.183333,-79.883333,12
Imbabura,160,1813,0.362678,-78.130667,12
Loja,138,2150,-3.983333,-79.2,12
Los Ríos,263,3358,-1.8,-79.533333,12
Manabí,465,6538,-1.056181,-80.455217,12
Morona Santiago,25,435,-2.3,-78.116667,12
Napo,30,312,-0.989,-77.8159,12
Orellana,23,328,-0.466667,-76.966667,12
Otro,0,3,0.0,0.0,12
Pastaza,16,288,-1.066667,-78.001111,12
Pichincha,1012,11825,-0.218611,-78.509722,12
Santa Elena,86,1182,-2.2267,-80.8583,12
Sto. Domingo Tsáchilas,148,1880,-0.254167,-79.171944,12
Sucumbíos,39,526,0.084722,-76.882778,12
Tungurahua,169,2670,-1.241667,-78.619722,12
Zamora Chinchipe,19,205,-4.12,-78.8,12
